2026-06-12 10:29:58.210 | INFO     | bybit_edge.recorder            | Starting RecordingEngine: streams=['rpi_orderbook', 'insurance_pool', 'adl_alerts', 'option_tickers', 'premium_index_kline'] symbols=['BTCUSDT'] options=['BTC', 'ETH'] cap=5.0 GB duration=300.0
2026-06-12 10:29:59.226 | INFO     | bybit_edge.recorder.recording_engine | [linear] connected to wss://stream.bybit.com/v5/public/linear
2026-06-12 10:29:59.227 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 3 topic(s): ['orderbook.rpi.BTCUSDT', 'insurance.USDT', 'adlAlert']
2026-06-12 10:29:59.385 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:29:59.386 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:30:29.332 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0043, 'used_pct': 0.09, 'total_bytes': 4666812, 'total_segments': 484, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4666812, 'segments': 484}}}
2026-06-12 10:30:29.560 | WARNING  | bybit_edge.recorder.recording_engine | [option] connection lost (sent 1011 (internal error) keepalive ping timeout; no close frame received) — reconnecting in 1.0 s
2026-06-12 10:30:31.336 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:30:31.337 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:30:59.504 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4676464, 'total_segments': 485, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4676464, 'segments': 485}}}
2026-06-12 10:31:01.550 | WARNING  | bybit_edge.recorder.recording_engine | [option] connection lost (sent 1011 (internal error) keepalive ping timeout; no close frame received) — reconnecting in 1.0 s
2026-06-12 10:31:03.334 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:31:03.335 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:31:29.639 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4676464, 'total_segments': 485, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4676464, 'segments': 485}}}
2026-06-12 10:31:33.531 | WARNING  | bybit_edge.recorder.recording_engine | [option] connection lost (sent 1011 (internal error) keepalive ping timeout; no close frame received) — reconnecting in 1.0 s
2026-06-12 10:31:35.301 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 10:31:35.302 | INFO     | bybit_edge.recorder.recording_engine | Subscribed to 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 10:32:00.139 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4686116, 'total_segments': 486, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4686116, 'segments': 486}}}
