2026-06-12 13:48:50.938 | INFO     | bybit_edge.recorder            | Starting RecordingEngine: streams=['rpi_orderbook', 'insurance_pool', 'adl_alerts', 'option_tickers', 'premium_index_kline'] symbols=['BTCUSDT'] options=['BTC', 'ETH'] cap=5.0 GB duration=300.0
2026-06-12 13:48:51.977 | INFO     | bybit_edge.recorder.recording_engine | [linear] connected to wss://stream.bybit.com/v5/public/linear
2026-06-12 13:48:51.978 | INFO     | bybit_edge.recorder.recording_engine | Subscribe request sent for 3 topic(s): ['orderbook.rpi.BTCUSDT', 'insurance.USDT', 'adlAlert']
2026-06-12 13:48:52.134 | INFO     | bybit_edge.recorder.recording_engine | [option] connected to wss://stream.bybit.com/v5/public/option
2026-06-12 13:48:52.134 | INFO     | bybit_edge.recorder.recording_engine | Subscribe request sent for 2 topic(s): ['tickers.BTC', 'tickers.ETH']
2026-06-12 13:48:52.155 | ERROR    | bybit_edge.recorder.recording_engine | [linear] SUBSCRIBE/REQUEST REJECTED: op=subscribe ret_msg='error:handler not found,topic:adlAlert' payload={"success":false,"ret_msg":"error:handler not found,topic:adlAlert","conn_id":"d8bu1fkptl6rn53n7b00-3v5d6","req_id":"","op":"subscribe"} — topic likely does not exist on this endpoint
2026-06-12 13:48:52.312 | INFO     | bybit_edge.recorder.recording_engine | [option] ack: op= success=true ret_msg='' conn_id=d8aksh3bbbnfjki60pu0-1kk0c
2026-06-12 13:49:22.014 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4715106, 'total_segments': 489, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4715106, 'segments': 489}}}
2026-06-12 13:49:52.156 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4724778, 'total_segments': 490, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4724778, 'segments': 490}}}
2026-06-12 13:50:22.279 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4724778, 'total_segments': 490, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4724778, 'segments': 490}}}
2026-06-12 13:50:52.422 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4734455, 'total_segments': 491, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4734455, 'segments': 491}}}
2026-06-12 13:51:22.569 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4734455, 'total_segments': 491, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4734455, 'segments': 491}}}
2026-06-12 13:51:52.689 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4744124, 'total_segments': 492, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4744124, 'segments': 492}}}
2026-06-12 13:52:22.837 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4744124, 'total_segments': 492, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4744124, 'segments': 492}}}
2026-06-12 13:52:52.973 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4753815, 'total_segments': 493, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4753815, 'segments': 493}}}
2026-06-12 13:53:23.128 | INFO     | bybit_edge.recorder.recording_engine | Storage telemetry: {'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4753815, 'total_segments': 493, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4753815, 'segments': 493}}}
2026-06-12 13:53:50.953 | INFO     | bybit_edge.recorder.recording_engine | Recording duration 300 s reached — stopping.
2026-06-12 13:53:51.097 | INFO     | bybit_edge.recorder.recording_engine | Recorder stopped. messages=5 telemetry={'cap_gb': 5.0, 'used_gb': 0.0044, 'used_pct': 0.09, 'total_bytes': 4753815, 'total_segments': 493, 'evictions': 0, 'bytes_evicted': 0, 'per_stream': {'premium_index_kline': {'bytes': 4753815, 'segments': 493}}}
2026-06-12 13:53:51.163 | INFO     | bybit_edge.recorder            | RecordingEngine finished. Telemetry: {"cap_gb": 5.0, "used_gb": 0.0044, "used_pct": 0.09, "total_bytes": 4753815, "total_segments": 493, "evictions": 0, "bytes_evicted": 0, "per_stream": {"premium_index_kline": {"bytes": 4753815, "segments": 493}}}
