minute_utc,coin,n_frames,n_horizon,n_legs,leg_w_p50,leg_w_p75,leg_w_max,leg_rel_p50,atm_mark_iv,under,n_unquoted_legband
2026-08-15T16:55:00Z,BTC,576,66,4,0.145,0.155,0.17,0.011,0.2821,63400.74,0
2026-08-15T16:55:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.0099,0.4161,1890.65,0
2026-08-15T16:56:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2821,63400.93,0
2026-08-15T16:56:00Z,ETH,480,40,2,0.135,0.1525,0.17,0.0076,0.4161,1890.61,0
2026-08-15T16:57:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2821,63400.94,0
2026-08-15T16:57:00Z,ETH,480,40,2,0.18,0.22,0.26,0.0099,0.4161,1890.88,0
2026-08-15T16:58:00Z,BTC,576,66,4,0.145,0.1525,0.16,0.011,0.282,63400.97,0
2026-08-15T16:58:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.0099,0.4161,1890.78,0
2026-08-15T16:59:00Z,BTC,576,66,4,0.14,0.155,0.17,0.011,0.282,63400.95,0
2026-08-15T16:59:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.0099,0.4161,1890.8,0
2026-08-15T17:00:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2822,63400.68,0
2026-08-15T17:00:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.0099,0.4161,1890.9,0
2026-08-15T17:01:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2821,63401.03,0
2026-08-15T17:01:00Z,ETH,480,40,2,0.175,0.2175,0.26,0.0099,0.4161,1890.87,0
2026-08-15T17:02:00Z,BTC,576,66,4,0.145,0.155,0.17,0.011,0.2822,63401.41,0
2026-08-15T17:02:00Z,ETH,480,40,2,0.14,0.16,0.18,0.0077,0.4161,1891.25,0
2026-08-15T17:03:00Z,BTC,576,66,4,0.14,0.155,0.17,0.011,0.2822,63402.55,0
2026-08-15T17:03:00Z,ETH,480,40,2,0.18,0.22,0.26,0.0099,0.4161,1891.32,0
2026-08-15T17:04:00Z,BTC,576,66,4,0.145,0.1525,0.16,0.011,0.282,63403.36,0
2026-08-15T17:04:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.0099,0.4161,1891.23,0
2026-08-15T17:05:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2821,63402.01,0
2026-08-15T17:05:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.0099,0.4162,1891.47,0
2026-08-15T17:06:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2821,63401.15,0
2026-08-15T17:06:00Z,ETH,480,40,2,0.18,0.225,0.27,0.0099,0.4161,1891.45,0
2026-08-15T17:07:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2821,63401.15,0
2026-08-15T17:07:00Z,ETH,480,40,2,0.14,0.16,0.18,0.0077,0.4161,1891.25,0
2026-08-15T17:08:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2823,63401.14,0
2026-08-15T17:08:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.0099,0.4161,1891.22,0
2026-08-15T17:09:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2822,63401.15,0
2026-08-15T17:09:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.0099,0.4161,1891.22,0
2026-08-15T17:10:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2821,63401.17,0
2026-08-15T17:10:00Z,ETH,480,40,2,0.18,0.22,0.26,0.0099,0.4161,1891.35,0
2026-08-15T17:11:00Z,BTC,576,66,4,0.14,0.1525,0.16,0.011,0.2822,63401.17,0
2026-08-15T17:11:00Z,ETH,480,40,2,0.18,0.22,0.26,0.0099,0.4161,1891.36,0
2026-08-15T17:12:00Z,BTC,576,66,4,0.15,0.16,0.16,0.011,0.2823,63401.12,0
2026-08-15T17:12:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.0099,0.4162,1891.42,0
2026-08-15T17:13:00Z,BTC,576,66,4,0.145,0.16,0.16,0.011,0.2821,63403.03,0
2026-08-15T17:13:00Z,ETH,480,40,2,0.14,0.16,0.18,0.0077,0.4162,1891.62,0
2026-08-15T17:14:00Z,BTC,576,66,4,0.145,0.1525,0.16,0.011,0.282,63403.01,0
2026-08-15T17:14:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.01,0.4162,1891.61,0
2026-08-15T17:15:00Z,BTC,576,66,4,0.145,0.1525,0.16,0.011,0.282,63402.4,0
2026-08-15T17:15:00Z,ETH,480,40,2,0.18,0.225,0.27,0.01,0.4162,1891.59,0
2026-08-15T17:16:00Z,BTC,576,66,4,0.14,0.155,0.17,0.011,0.2823,63406.31,0
2026-08-15T17:16:00Z,ETH,480,40,2,0.185,0.2275,0.27,0.01,0.4162,1892.12,0
2026-08-15T17:17:00Z,BTC,576,66,4,0.145,0.1525,0.16,0.011,0.2819,63404.65,0
2026-08-15T17:17:00Z,ETH,480,40,2,0.14,0.16,0.18,0.0077,0.4162,1891.62,0
2026-08-15T17:18:00Z,BTC,576,66,4,0.14,0.155,0.17,0.011,0.2822,63402.59,0
2026-08-15T17:18:00Z,ETH,480,40,2,0.135,0.1525,0.17,0.0077,0.4162,1891.54,0
2026-08-15T17:19:00Z,BTC,576,66,4,0.145,0.1525,0.16,0.011,0.282,63407.38,0
