symbol,event_date,event_hour,era,stress_abs,variable,baseline,phi,lambda_per_h,half_life_h,r2,n_pairs,t_return_defined,t_return_h,censored,shock_excess
BTCUSDT,2020-04-10,440693,OTHER,False,activity_volume,2.7341890115473793,0.7899386441305455,2.8296000263368875,0.24496295381268857,0.6252502266182645,287,True,7,False,1.8100215387756613
BTCUSDT,2020-04-10,440693,OTHER,False,activity_ntrades,4.219507705176107,0.3889808817430442,11.330701005138856,0.06117425393588442,0.1517934351240745,287,True,23,False,0.37362333114501617
BTCUSDT,2020-04-10,440693,OTHER,False,realized_vol,2.363375893820633,0.3739497348223433,11.803606673648192,0.058723337681813086,0.14050530413705586,287,True,6,False,0.4837579280206266
BTCUSDT,2020-04-12,440752,OTHER,False,activity_volume,3.192119143040449,0.5085130071871232,8.115173811579679,0.0854137196138525,0.2607244494725267,287,True,3,False,1.2058574174280137
BTCUSDT,2020-04-12,440752,OTHER,False,activity_ntrades,4.382026634673881,0.6808493954289747,4.612969792524335,0.15026050716465617,0.470957266930098,287,True,18,False,1.207201842174133
BTCUSDT,2020-04-12,440752,OTHER,False,realized_vol,2.1605641640975013,0.4849495340872539,8.684525362643159,0.07981405449531488,0.23706220902424013,287,True,5,False,0.9928640976986965
BTCUSDT,2020-04-16,440839,OTHER,False,activity_volume,3.484892599980909,0.4347819006829984,9.994929016386404,0.069349885269175,0.191508834042995,287,True,7,False,1.6656649674887525
BTCUSDT,2020-04-16,440839,OTHER,False,activity_ntrades,4.886518561576031,0.30848381271744807,14.11303089534527,0.049113984494185275,0.09663112412500385,287,True,7,False,1.17349958054754
BTCUSDT,2020-04-16,440839,OTHER,False,realized_vol,2.236104388080724,0.3675184391324445,12.011781444934698,0.05770561042402596,0.13639924111747148,287,True,11,False,1.0008599954835387
BTCUSDT,2020-04-20,440945,OTHER,False,activity_volume,3.1307563849883007,0.3590838974436373,12.290390642187644,0.056397489773894416,0.13013575815250045,287,True,4,False,1.6772190968403
BTCUSDT,2020-04-20,440945,OTHER,False,activity_ntrades,4.629850900756953,0.3944598187168794,11.162855970957255,0.062094071836394524,0.15674004655906515,287,True,4,False,1.2295497519848648
