# panel_1d Manifest, Zeilen mit status PARTIAL nach dem Wiederhol-Fetch 2026-09-14
# (symbol, year, status, n_rows, expected_days, frozen, failure_reason)
('ADAUSDT', 2021, 'PARTIAL', 289, 351, 1, None)
('AXSUSDT', 2021, 'PARTIAL', 123, 142, 1, None)
('BICOUSDT', 2021, 'PARTIAL', 29, 30, 1, None)
('COMPUSDT', 2021, 'PARTIAL', 123, 142, 1, None)
('COTIUSDT', 2021, 'PARTIAL', 29, 30, 1, None)
('CVCUSDT', 2021, 'PARTIAL', 31, 32, 1, None)
('DUSKUSDT', 2021, 'PARTIAL', 15, 16, 1, None)
('EGLDUSDT', 2021, 'PARTIAL', 39, 40, 1, None)
('ENJUSDT', 2021, 'PARTIAL', 61, 62, 1, None)
('FLOWUSDT', 2021, 'PARTIAL', 36, 37, 1, None)
('MASKUSDT', 2021, 'PARTIAL', 29, 30, 1, None)
('RSRUSDT', 2021, 'PARTIAL', 31, 32, 1, None)
('SLPUSDT', 2021, 'PARTIAL', 44, 45, 1, None)
('STXUSDT', 2021, 'PARTIAL', 29, 32, 1, None)
('THETAUSDT', 2021, 'PARTIAL', 123, 142, 1, None)
('TRXUSDT', 2021, 'PARTIAL', 123, 142, 1, None)
('XLMUSDT', 2021, 'PARTIAL', 123, 142, 1, None)
('YFIUSDT', 2021, 'PARTIAL', 22, 24, 1, None)
('APTUSDT', 2022, 'PARTIAL', 74, 75, 1, None)
('ARPAUSDT', 2022, 'PARTIAL', 256, 257, 1, None)
('BANDUSDT', 2022, 'PARTIAL', 312, 317, 1, None)
('BNBPERP', 2022, 'PARTIAL', 93, 94, 1, None)
('BOBAUSDT', 2022, 'PARTIAL', 269, 270, 1, None)
('BTCPERP', 2022, 'PARTIAL', 352, 365, 1, None)
('JSTUSDT', 2022, 'PARTIAL', 310, 317, 1, None)
('LDOUSDT', 2022, 'PARTIAL', 164, 165, 1, None)
('MINAUSDT', 2022, 'PARTIAL', 269, 270, 1, None)
('PAXGUSDT', 2022, 'PARTIAL', 292, 293, 1, None)
('SKLUSDT', 2022, 'PARTIAL', 284, 285, 1, None)
('SUNUSDT', 2022, 'PARTIAL', 310, 317, 1, None)
('TWTUSDT', 2022, 'PARTIAL', 44, 45, 1, None)
('XMRUSDT', 2022, 'PARTIAL', 352, 365, 1, None)
('ZILUSDT', 2022, 'PARTIAL', 336, 337, 1, None)
('CFXUSDT', 2023, 'PARTIAL', 314, 315, 1, None)
('CYBERUSDT', 2023, 'PARTIAL', 138, 139, 1, None)
('FLRUSDT', 2023, 'PARTIAL', 290, 291, 1, None)
('JTOUSDT', 2023, 'PARTIAL', 24, 25, 1, None)
('SUIUSDT', 2023, 'PARTIAL', 243, 244, 1, None)
('1000BONKPERP', 2024, 'PARTIAL', 33, 34, 1, None)
('1000CATUSDT', 2024, 'PARTIAL', 110, 111, 1, None)
('1000PEPEPERP', 2024, 'PARTIAL', 251, 252, 1, None)
('ARBPERP', 2024, 'PARTIAL', 251, 254, 1, None)
('BIOUSDT', 2024, 'PARTIAL', 7, 8, 1, None)
('CATIUSDT', 2024, 'PARTIAL', 112, 114, 1, None)
('DOGEPERP', 2024, 'PARTIAL', 250, 254, 1, None)
('DOTPERP', 2024, 'PARTIAL', 33, 34, 1, None)
('EIGENUSDT', 2024, 'PARTIAL', 147, 148, 1, None)
('ENAPERP', 2024, 'PARTIAL', 33, 34, 1, None)
('ETHFIPERP', 2024, 'PARTIAL', 251, 252, 1, None)
('GOATUSDT', 2024, 'PARTIAL', 70, 71, 1, None)
('GRASSUSDT', 2024, 'PARTIAL', 76, 78, 1, None)
('HMSTRUSDT', 2024, 'PARTIAL', 110, 112, 1, None)
('HYPEUSDT', 2024, 'PARTIAL', 27, 28, 1, None)
('LINKPERP', 2024, 'PARTIAL', 33, 34, 1, None)
('LSKUSDT', 2024, 'PARTIAL', 364, 365, 1, None)
('METISUSDT', 2024, 'PARTIAL', 364, 365, 1, None)
('MEUSDT', 2024, 'PARTIAL', 36, 37, 1, None)
('MNTPERP', 2024, 'PARTIAL', 251, 252, 1, None)
('ONDOUSDT', 2024, 'PARTIAL', 344, 345, 1, None)
('ORDIPERP', 2024, 'PARTIAL', 250, 254, 1, None)
('SHIB1000PERP', 2024, 'PARTIAL', 233, 236, 1, None)
('TIAPERP', 2024, 'PARTIAL', 233, 236, 1, None)
('USUALUSDT', 2024, 'PARTIAL', 43, 44, 1, None)
('WIFPERP', 2024, 'PARTIAL', 233, 236, 1, None)
('WLDPERP', 2024, 'PARTIAL', 233, 236, 1, None)
('XLMPERP', 2024, 'PARTIAL', 33, 34, 1, None)
('BLUAIUSDT', 2025, 'PARTIAL', 69, 70, 1, None)
('MONUSDT', 2025, 'PARTIAL', 37, 38, 1, None)
('DATAUSDT', 2026, 'PARTIAL', 68, 77, 0, None)
