week,ic,k
2020-12-28,,0
2021-01-04,,0
2021-01-11,,0
2021-01-18,,0
2021-01-25,,0
2021-02-01,,0
2021-02-08,,0
2021-02-15,,0
2021-02-22,,5
2021-03-01,,5
2021-03-08,,5
2021-03-15,,5
2021-03-22,,5
2021-03-29,,5
2021-04-05,,5
2021-04-12,,5
2021-04-19,,5
2021-04-26,,5
2021-05-03,,5
2021-05-10,,8
2021-05-17,,8
2021-05-24,,8
2021-05-31,,8
2021-06-07,,8
2021-06-14,,8
2021-06-21,,8
2021-06-28,,8
2021-07-05,0.0303030303,10
2021-07-12,0.4666666667,10
2021-07-19,-0.4060606061,10
2021-07-26,-0.2090909091,11
2021-08-02,-0.6909090909,11
2021-08-09,-0.3181818182,11
2021-08-16,-0.2090909091,11
2021-08-23,-0.4461538462,14
2021-08-30,0.2043956044,14
2021-09-06,-0.2659340659,14
2021-09-13,0.0417582418,14
2021-09-20,-0.1340659341,14
2021-09-27,-0.0725274725,14
2021-10-04,0.3582417582,14
2021-10-11,0.1648351648,14
2021-10-18,0.3054945055,14
2021-10-25,0.3087719298,19
2021-11-01,-0.2877192982,19
2021-11-08,0.1818181818,21
2021-11-15,0.0547713156,22
2021-11-22,0.0784867307,22
2021-11-29,0.0807453416,22
2021-12-06,-0.0020022247,30
2021-12-13,-0.4596774194,31
2021-12-20,0.0944658945,36
2021-12-27,0.1508917825,38
2022-01-03,-0.0393234672,44
2022-01-10,-0.0554424915,46
2022-01-17,-0.3849087945,58
2022-01-24,-0.262071993,67
2022-01-31,0.368175721,71
2022-02-07,-0.0904978663,75
2022-02-14,0.2879835954,76
2022-02-21,-0.0508984686,78
2022-02-28,0.0548780488,81
2022-03-07,-0.124600217,86
2022-03-14,-0.4026208355,87
2022-03-21,0.0446886447,90
2022-03-28,-0.4092768655,90
2022-04-04,-0.0543523892,90
2022-04-11,-0.0451345756,91
2022-04-18,0.304787234,95
2022-04-25,0.0894736842,96
2022-05-02,0.1449945741,96
2022-05-09,-0.1374617462,100
2022-05-16,0.2946301689,101
2022-05-23,-0.0294315554,102
2022-05-30,0.3708239917,106
2022-06-06,-0.0840051895,109
2022-06-13,-0.3639081559,112
2022-06-20,-0.1436306474,113
2022-06-27,-0.2169888216,113
2022-07-04,-0.1291880057,113
2022-07-11,-0.0033980681,114
2022-07-18,-0.0550535631,114
2022-07-25,-0.1028331988,116
2022-08-01,-0.2656535887,118
2022-08-08,-0.3307363623,119
2022-08-15,0.1401296112,119
2022-08-22,-0.2887700535,120
2022-08-29,-0.0366380246,120
2022-09-05,0.1658587402,120
2022-09-12,-0.0082373802,121
2022-09-19,-0.13589622,121
2022-09-26,-0.1134635932,124
2022-10-03,0.1458064516,124
2022-10-10,-0.0098801843,125
2022-10-17,-0.2067611549,126
2022-10-24,0.0949947568,128
2022-10-31,0.081563173,129
2022-11-07,-0.1907591682,129
2022-11-14,-0.202845483,129
2022-11-21,-0.0544893417,130
2022-11-28,0.103388002,130
2022-12-05,0.2284800692,131
2022-12-12,0.2234640515,132
2022-12-19,0.2483811889,132
2022-12-26,-0.3965865392,132
2023-01-02,-0.2303863252,132
2023-01-09,0.0745503515,133
2023-01-16,0.0360790035,133
2023-01-23,-0.1410003979,133
2023-01-30,-0.2496180656,133
2023-02-06,0.1126921782,134
2023-02-13,-0.0464768887,134
2023-02-20,-0.3675432362,134
2023-02-27,-0.1901375476,135
2023-03-06,-0.0484245439,135
2023-03-13,-0.0159008877,135
2023-03-20,-0.1274656131,135
2023-03-27,-0.2763953229,135
2023-04-03,-0.1943561853,136
2023-04-10,-0.0979520974,137
2023-04-17,0.069373073,139
2023-04-24,0.226443769,141
2023-05-01,0.2593992762,142
2023-05-08,-0.235885379,144
2023-05-15,-0.0663588934,147
2023-05-22,0.0654746782,147
2023-05-29,0.3126015308,147
2023-06-05,-0.2203870071,147
2023-06-12,-0.3795079676,147
2023-06-19,0.1805268278,147
2023-06-26,-0.0551046713,150
2023-07-03,-0.1185528246,150
2023-07-10,-0.0813351705,150
2023-07-17,0.1126943186,151
2023-07-24,-0.1423283374,151
2023-07-31,-0.0535952727,152
2023-08-07,-0.0532979312,152
2023-08-14,0.1720846233,153
2023-08-21,0.1179575643,154
2023-08-28,0.0983736625,156
2023-09-04,-0.0562406602,156
2023-09-11,-0.0617692638,156
2023-09-18,-0.030048364,159
2023-09-25,-0.2028985507,161
2023-10-02,0.0516207514,163
2023-10-09,0.1485587583,165
2023-10-16,-0.1245398445,165
2023-10-23,-0.0409113864,166
2023-10-30,-0.0166733313,168
2023-11-06,-0.0531304255,168
2023-11-13,-0.0631096218,168
2023-11-20,0.0141399365,168
2023-11-27,-0.0407314405,169
2023-12-04,0.0469460244,171
2023-12-11,0.1614803082,171
2023-12-18,-0.1878683386,175
2023-12-25,-0.1894963698,179
2024-01-01,0.0369510179,179
2024-01-08,-0.2419383895,182
2024-01-15,0.0029493354,186
2024-01-22,0.1508167582,189
2024-01-29,-0.2048257096,191
2024-02-05,-0.0774903555,191
2024-02-12,-0.0405182704,192
2024-02-19,-0.1548266555,192
2024-02-26,0.2447214769,194
2024-03-04,-0.0665221653,196
2024-03-11,-0.1663935533,197
2024-03-18,0.0841442379,199
2024-03-25,-0.1591532655,202
2024-04-01,0.2214455851,205
2024-04-08,-0.4480923793,205
2024-04-15,-0.016573584,207
2024-04-22,-0.1460105684,209
2024-04-29,0.1861309743,209
2024-05-06,-0.0733064217,211
2024-05-13,-0.2458686663,212
2024-05-20,-0.0987231802,213
2024-05-27,-0.0644125317,216
2024-06-03,-0.0002739379,218
2024-06-10,-0.0521720021,220
2024-06-17,-0.0209846812,229
2024-06-24,0.2263675569,230
2024-07-01,-0.0553172758,234
2024-07-08,-0.3714627413,241
2024-07-15,0.0591684355,243
2024-07-22,0.1223068948,244
2024-07-29,0.1433623625,247
2024-08-05,-0.1806002656,251
2024-08-12,-0.4225951499,253
2024-08-19,0.1541584646,255
2024-08-26,-0.0916407501,255
2024-09-02,-0.1065493581,256
2024-09-09,-0.1400085389,258
2024-09-16,-0.3427387426,260
