week,n_symbols,lump_share,neg_share,pos_share,d1_degenerate,d10_degenerate
2020-12-28,0,,,,,
2021-01-04,0,,,,,
2021-01-11,0,,,,,
2021-01-18,0,,,,,
2021-01-25,0,,,,,
2021-02-01,0,,,,,
2021-02-08,0,,,,,
2021-02-15,0,,,,,
2021-02-22,5,0.0,0.0,1.0,True,False
2021-03-01,5,0.0,0.0,1.0,True,False
2021-03-08,5,0.0,0.0,1.0,True,False
2021-03-15,5,0.0,0.0,1.0,True,False
2021-03-22,5,0.0,0.0,1.0,True,False
2021-03-29,5,0.0,0.0,1.0,True,False
2021-04-05,5,0.0,0.0,1.0,True,False
2021-04-12,5,0.0,0.0,1.0,True,False
2021-04-19,5,0.0,0.0,1.0,True,False
2021-04-26,5,0.0,0.0,1.0,True,False
2021-05-03,5,0.0,0.0,1.0,True,False
2021-05-10,8,0.0,0.0,1.0,True,False
2021-05-17,8,0.0,0.875,0.125,False,False
2021-05-24,8,0.125,0.875,0.0,False,True
2021-05-31,8,0.375,0.375,0.25,False,False
2021-06-07,8,0.0,1.0,0.0,False,True
2021-06-14,8,0.25,0.75,0.0,False,True
2021-06-21,8,0.0,1.0,0.0,False,True
2021-06-28,8,0.0,1.0,0.0,False,True
2021-07-05,10,0.0,1.0,0.0,False,True
2021-07-12,10,0.2,0.8,0.0,False,True
2021-07-19,10,0.0,1.0,0.0,False,True
2021-07-26,11,0.1818181818,0.4545454545,0.3636363636,False,False
2021-08-02,11,0.0909090909,0.1818181818,0.7272727273,False,False
2021-08-09,11,0.0,0.0,1.0,True,False
2021-08-16,11,0.0,0.0,1.0,True,False
2021-08-23,14,0.0,0.0,1.0,True,False
2021-08-30,14,0.0,0.0,1.0,True,False
2021-09-06,14,0.0,0.0714285714,0.9285714286,True,False
2021-09-13,14,0.0714285714,0.2142857143,0.7142857143,False,False
2021-09-20,14,0.0714285714,0.6428571429,0.2857142857,False,False
2021-09-27,14,0.2857142857,0.4285714286,0.2857142857,False,False
2021-10-04,14,0.0,0.0714285714,0.9285714286,True,False
2021-10-11,14,0.0,0.0714285714,0.9285714286,True,False
2021-10-18,14,0.0,0.0,1.0,True,False
2021-10-25,19,0.0,0.0526315789,0.9473684211,True,False
2021-11-01,19,0.0,0.1052631579,0.8947368421,False,False
2021-11-08,21,0.0,0.0476190476,0.9523809524,True,False
2021-11-15,23,0.0,0.1304347826,0.8695652174,False,False
2021-11-22,23,0.0,0.0434782609,0.9565217391,True,False
2021-11-29,23,0.0434782609,0.5652173913,0.3913043478,False,False
2021-12-06,35,0.1714285714,0.8285714286,0.0,False,True
2021-12-13,36,0.1388888889,0.8333333333,0.0277777778,False,True
2021-12-20,42,0.3095238095,0.5,0.1904761905,False,False
2021-12-27,44,0.25,0.2954545455,0.4545454545,False,False
2022-01-03,50,0.22,0.58,0.2,False,False
2022-01-10,52,0.2692307692,0.7115384615,0.0192307692,False,True
2022-01-17,66,0.0757575758,0.9090909091,0.0151515152,False,True
2022-01-24,79,0.0759493671,0.9240506329,0.0,False,True
2022-01-31,86,0.1162790698,0.8604651163,0.023255814,False,True
2022-02-07,92,0.1847826087,0.75,0.0652173913,False,True
2022-02-14,94,0.1170212766,0.8723404255,0.0106382979,False,True
2022-02-21,96,0.0625,0.9166666667,0.0208333333,False,True
2022-02-28,99,0.0909090909,0.898989899,0.0101010101,False,True
2022-03-07,105,0.0761904762,0.9142857143,0.0095238095,False,True
2022-03-14,107,0.214953271,0.7289719626,0.0560747664,False,True
2022-03-21,111,0.3153153153,0.5585585586,0.1261261261,False,False
2022-03-28,111,0.1711711712,0.2612612613,0.5675675676,False,False
2022-04-04,111,0.2342342342,0.5135135135,0.2522522523,False,False
2022-04-11,115,0.2608695652,0.7217391304,0.0173913043,False,True
2022-04-18,120,0.3583333333,0.6083333333,0.0333333333,False,True
2022-04-25,121,0.1983471074,0.7768595041,0.0247933884,False,True
2022-05-02,121,0.1487603306,0.8512396694,0.0,False,True
2022-05-09,126,0.0873015873,0.9126984127,0.0,False,True
2022-05-16,129,0.1007751938,0.8759689922,0.023255814,False,True
2022-05-23,136,0.0808823529,0.9191176471,0.0,False,True
2022-05-30,142,0.1056338028,0.8873239437,0.0070422535,False,True
2022-06-06,145,0.0896551724,0.9034482759,0.0068965517,False,True
2022-06-13,150,0.0533333333,0.94,0.0066666667,False,True
2022-06-20,152,0.1644736842,0.8092105263,0.0263157895,False,True
2022-06-27,155,0.0903225806,0.8903225806,0.0193548387,False,True
2022-07-04,156,0.2115384615,0.7756410256,0.0128205128,False,True
2022-07-11,157,0.0828025478,0.8917197452,0.025477707,False,True
2022-07-18,158,0.3037974684,0.6329113924,0.0632911392,False,True
2022-07-25,161,0.2670807453,0.6894409938,0.0434782609,False,True
2022-08-01,164,0.6036585366,0.3597560976,0.0365853659,False,True
2022-08-08,165,0.7212121212,0.2303030303,0.0484848485,False,True
2022-08-15,165,0.1333333333,0.8121212121,0.0545454545,False,True
2022-08-22,166,0.1204819277,0.8072289157,0.0722891566,False,True
2022-08-29,166,0.1084337349,0.8012048193,0.0903614458,False,True
2022-09-05,166,0.1807228916,0.7530120482,0.0662650602,False,True
2022-09-12,168,0.1845238095,0.7619047619,0.0535714286,False,True
2022-09-19,168,0.1488095238,0.8035714286,0.0476190476,False,True
2022-09-26,171,0.1812865497,0.7368421053,0.081871345,False,True
2022-10-03,171,0.269005848,0.6549707602,0.0760233918,False,True
2022-10-10,172,0.1511627907,0.7965116279,0.0523255814,False,True
2022-10-17,173,0.225433526,0.7167630058,0.0578034682,False,True
2022-10-24,176,0.2727272727,0.6704545455,0.0568181818,False,True
2022-10-31,177,0.2542372881,0.6271186441,0.1186440678,False,False
2022-11-07,177,0.0395480226,0.8248587571,0.1355932203,False,False
2022-11-14,176,0.2556818182,0.4886363636,0.2556818182,False,False
2022-11-21,175,0.2628571429,0.5885714286,0.1485714286,False,False
2022-11-28,175,0.28,0.5885714286,0.1314285714,False,False
2022-12-05,176,0.2954545455,0.5738636364,0.1306818182,False,False
2022-12-12,177,0.2429378531,0.6440677966,0.1129943503,False,False
