week,k,rho
2021-07-05,10,0.030303030303030304
2021-07-12,10,0.4666666666666667
2021-07-19,10,-0.40606060606060607
2021-07-26,11,-0.20909090909090908
2021-08-02,11,-0.6909090909090909
2021-08-09,11,-0.3181818181818182
2021-08-16,11,-0.20909090909090908
2021-08-23,14,-0.4461538461538462
2021-08-30,14,0.2043956043956044
2021-09-06,14,-0.26593406593406593
2021-09-13,14,0.041758241758241756
2021-09-20,14,-0.13406593406593406
2021-09-27,14,-0.07252747252747253
2021-10-04,14,0.35824175824175825
2021-10-11,14,0.16483516483516483
2021-10-18,14,0.3054945054945055
2021-10-25,19,0.3087719298245614
2021-11-01,19,-0.28771929824561404
2021-11-08,21,0.18181818181818182
2021-11-15,23,-0.036561264822134384
2021-11-22,23,0.14624505928853754
2021-11-29,23,0.14723320158102768
2021-12-06,35,0.03221288515406162
2021-12-13,36,-0.477992277992278
2021-12-20,42,0.14609837128271616
2021-12-27,44,0.2405919661733615
2022-01-03,50,0.08811524609843938
2022-01-10,52,-0.0960471271237087
2022-01-17,66,-0.3824444212503914
2022-01-24,79,-0.34707887049659203
2022-01-31,86,0.3168923062408604
2022-02-07,92,-0.021777661328853476
2022-02-14,94,0.30857204782718634
2022-02-21,96,-0.004462832338578405
2022-02-28,99,0.1119604205318491
2022-03-07,105,-0.1213767364710761
2022-03-14,107,-0.34437391014714236
2022-03-21,111,0.08865391365391366
2022-03-28,111,-0.4257195507195507
2022-04-04,111,-0.005414180414180414
2022-04-11,115,-0.037765327862384596
2022-04-18,120,0.27278977706785196
2022-04-25,121,0.06400216772795014
2022-05-02,121,0.17676466603441268
2022-05-09,126,-0.22816647919010125
2022-05-16,129,0.23581171735241502
2022-05-23,136,-0.027028799948494907
2022-05-30,142,0.32435439897231927
2022-06-06,145,-0.11361202960163753
2022-06-13,150,-0.33858749277745676
2022-06-20,152,-0.1517267067161476
2022-06-27,155,-0.10746275871863305
2022-07-04,156,-0.1294062793917491
2022-07-11,157,-0.10952073437628058
2022-07-18,158,-0.011879353595219659
2022-07-25,161,-0.14117782378651944
2022-08-01,164,-0.26745745650429176
2022-08-08,165,-0.2706488926882697
2022-08-15,165,0.11050677209948441
2022-08-22,166,-0.2789752011695946
2022-08-29,166,-0.0455132157155457
2022-09-05,166,0.1147195204333939
2022-09-12,168,-0.05854398043135978
2022-09-19,168,-0.12878047792833605
2022-09-26,171,-0.06766633986893761
2022-10-03,171,0.1500203998368013
2022-10-10,172,0.0035422606792556064
2022-10-17,173,-0.18460953687694398
2022-10-24,176,0.0413273394933694
2022-10-31,177,0.10295879949210288
2022-11-07,176,-0.19565055890964822
2022-11-14,174,-0.17803809903471055
2022-11-21,175,-0.08334527541424093
2022-11-28,175,0.08242722794446933
2022-12-05,176,0.1746822166228717
2022-12-12,177,0.1612453478803775
2022-12-19,177,0.22784308824463625
2022-12-26,177,-0.3674386696906217
2023-01-02,177,-0.17576993077102404
2023-01-09,178,0.1291916729880661
2023-01-16,178,0.1441396105450518
2023-01-23,178,-0.08116251333877346
2023-01-30,178,-0.22802421253231833
2023-02-06,179,0.056041679743895546
2023-02-13,179,-0.07778126503881322
2023-02-20,179,-0.29891406691356476
2023-02-27,180,-0.2695782791649948
2023-03-06,180,-0.031544183462452545
2023-03-13,180,-0.042556869039167874
2023-03-20,180,-0.10523987365865202
2023-03-27,180,-0.22616450413313288
2023-04-03,184,-0.13555701103812295
2023-04-10,188,-0.05673217062453608
2023-04-17,192,0.11169906138946911
2023-04-24,194,0.1533834895407461
2023-05-01,196,0.29199053303476796
2023-05-08,199,-0.1441564428797283
2023-05-15,202,0.016634648492882514
2023-05-22,202,0.06724612360779243
2023-05-29,202,0.3011535989272775
2023-06-05,202,-0.2066244449298065
2023-06-12,203,-0.40522046988819427
2023-06-19,203,0.1281090343372134
2023-06-26,205,-0.03997994177543146
2023-07-03,205,-0.09384045353874441
2023-07-10,206,-0.03850276041922496
2023-07-17,208,0.10837497545479667
2023-07-24,209,-0.11271626817796897
2023-07-31,213,-0.11345729006405274
2023-08-07,213,-0.035438517190251366
2023-08-14,214,0.1709922215317552
2023-08-21,216,0.1541278635515684
2023-08-28,218,0.03865192304019523
2023-09-04,218,-0.08221446289301598
2023-09-11,218,-0.04609629645074406
2023-09-18,221,-0.03286602110131522
2023-09-25,226,-0.2924304445570673
2023-10-02,230,-0.0554173375513797
2023-10-09,235,0.03833763303651511
2023-10-16,235,-0.18039705216048527
2023-10-23,238,-0.0017976365907837633
2023-10-30,240,-0.005493150922759075
2023-11-06,239,-0.02024102528040505
2023-11-13,242,-0.08614287389592307
2023-11-20,242,-0.054284832481739306
2023-11-27,245,-0.048715207794433245
2023-12-04,251,0.06954505786378297
2023-12-11,253,0.1506148193926352
2023-12-18,258,-0.24051108776472996
2023-12-25,262,-0.19365345626609096
2024-01-01,262,0.0707640693918852
2024-01-08,267,-0.19978463683945735
2024-01-15,272,-0.03138141433127324
2024-01-22,276,0.12288466203393217
2024-01-29,276,-0.15969749290107163
2024-02-05,280,-0.05048351564251002
2024-02-12,281,0.03858505770749278
2024-02-19,284,-0.09902375008840471
2024-02-26,285,0.17970420980057747
2024-03-04,287,-0.04774747610113464
2024-03-11,292,-0.1525805971177978
2024-03-18,293,0.037007392342549066
2024-03-25,296,-0.049169200016657644
2024-04-01,299,0.19779533568270072
2024-04-08,299,-0.4169639289802698
2024-04-15,304,0.0033051708967272914
2024-04-22,306,-0.18603337741354886
2024-04-29,308,0.20282386725573215
2024-05-06,313,-0.11042479020338648
2024-05-13,317,-0.2350575877415374
2024-05-20,320,-0.08232502270529986
2024-05-27,322,-0.05624100406860064
2024-06-03,326,-0.006542985915980794
2024-06-10,329,-0.02133354450427621
2024-06-17,339,-0.09731494629584567
2024-06-24,340,0.2583921192072189
2024-07-01,343,-0.09642045312617091
2024-07-08,352,-0.3158612712437075
2024-07-15,355,-0.05136405942798287
2024-07-22,359,0.11428990108048946
2024-07-29,364,0.06748756022853625
2024-08-05,368,-0.19725054731888392
2024-08-12,373,-0.41418206051849876
2024-08-19,376,0.12956329363959593
2024-08-26,377,-0.12775095515300583
2024-09-02,379,-0.06480989549565962
2024-09-09,383,-0.08610703236445327
2024-09-16,381,-0.2831359893005388
