week,k,rho
2021-07-05,10,0.030303030303030304
2021-07-12,10,0.4666666666666667
2021-07-19,10,-0.40606060606060607
2021-07-26,11,-0.20909090909090908
2021-08-02,11,-0.6909090909090909
2021-08-09,11,-0.3181818181818182
2021-08-16,11,-0.20909090909090908
2021-08-23,14,-0.4461538461538462
2021-08-30,14,0.2043956043956044
2021-09-06,14,-0.26593406593406593
2021-09-13,14,0.041758241758241756
2021-09-20,14,-0.13406593406593406
2021-09-27,14,-0.07252747252747253
2021-10-04,14,0.35824175824175825
2021-10-11,14,0.16483516483516483
2021-10-18,14,0.3054945054945055
2021-10-25,19,0.3087719298245614
2021-11-01,19,-0.28771929824561404
2021-11-08,21,0.18181818181818182
2021-11-15,22,0.054771315640880856
2021-11-22,22,0.07848673066064371
2021-11-29,22,0.08074534161490683
2021-12-06,30,-0.0020022246941045607
2021-12-13,31,-0.4596774193548387
2021-12-20,36,0.09446589446589447
2021-12-27,38,0.15089178247072985
2022-01-03,44,-0.03932346723044398
2022-01-10,46,-0.05544249152019735
2022-01-17,58,-0.38490879448768034
2022-01-24,67,-0.262071992976295
2022-01-31,71,0.3681757209926224
2022-02-07,75,-0.09049786628733997
2022-02-14,76,0.2879835953520164
2022-02-21,78,-0.050898468619987605
2022-02-28,81,0.054878048780487805
2022-03-07,86,-0.12460021699136752
2022-03-14,87,-0.4026208354596486
2022-03-21,90,0.04468864468864469
2022-03-28,90,-0.4092768654566407
2022-04-04,90,-0.05435238918384986
2022-04-11,91,-0.045134575569358175
2022-04-18,95,0.3047872340425532
2022-04-25,96,0.08947368421052632
2022-05-02,96,0.14499457406402605
2022-05-09,100,-0.13746174617461746
2022-05-16,101,0.2946301688992429
2022-05-23,102,-0.029431555377125378
2022-05-30,106,0.3708239917374109
2022-06-06,108,-0.08526489277582479
2022-06-13,111,-0.3645226395226395
2022-06-20,112,-0.14098643523422286
2022-06-27,112,-0.2179929613557932
2022-07-04,112,-0.12622605286283964
2022-07-11,113,-0.005597511477809568
2022-07-18,113,-0.0516335085501364
2022-07-25,115,-0.10143612404324154
2022-08-01,117,-0.26215738284703805
2022-08-08,118,-0.32855645517659476
2022-08-15,118,0.13941691409288617
2022-08-22,119,-0.2863053696054693
2022-08-29,119,-0.0384952971359696
2022-09-05,119,0.16551061102407064
2022-09-12,120,-0.005514281398510635
2022-09-19,120,-0.13651642475171888
2022-09-26,123,-0.11272605913465261
2022-10-03,123,0.1406663141195135
2022-10-10,124,-0.006715971675845791
2022-10-17,125,-0.205321044546851
2022-10-24,127,0.09501267665674541
2022-10-31,128,0.07695201907857152
2022-11-07,128,-0.18483908624793993
2022-11-14,128,-0.1961808734663981
2022-11-21,129,-0.0479762969588551
2022-11-28,129,0.09987701252236136
2022-12-05,130,0.24526722446459817
2022-12-12,131,0.22238058824098733
2022-12-19,131,0.24809694122671222
2022-12-26,131,-0.3974376768269898
2023-01-02,131,-0.22762626182068746
2023-01-09,132,0.07710288907556886
2023-01-16,132,0.038997563304513885
2023-01-23,132,-0.14179793689637
2023-01-30,132,-0.2499210811242379
2023-02-06,133,0.11027738953897634
2023-02-13,133,-0.05209087848522256
2023-02-20,133,-0.36906377204884666
2023-02-27,134,-0.18337136373271487
2023-03-06,134,-0.05376875023379344
2023-03-13,134,-0.012840559109215825
2023-03-20,134,-0.12601902766867418
2023-03-27,134,-0.30021858155185066
2023-04-03,135,-0.20609208857672423
2023-04-10,136,-0.0880253804684891
2023-04-17,138,0.07333289192194324
2023-04-24,140,0.23772933021364065
2023-05-01,141,0.264463376000685
2023-05-08,143,-0.2374216159427427
2023-05-15,146,-0.0672016318886428
2023-05-22,146,0.06420142500598262
2023-05-29,146,0.31302864083753484
2023-06-05,146,-0.22014787965256957
2023-06-12,146,-0.3766303876297803
2023-06-19,146,0.1829488840562992
2023-06-26,149,-0.05583167059677127
2023-07-03,149,-0.12201342281879195
2023-07-10,149,-0.08457101396698712
2023-07-17,150,0.1184674874438864
2023-07-24,150,-0.1389412862793902
2023-07-31,151,-0.053543093014217794
2023-08-07,151,-0.05765074939003137
2023-08-14,152,0.17449886890971097
2023-08-21,153,0.1133482100974361
2023-08-28,155,0.10351906158357771
2023-09-04,155,-0.05394770870075927
2023-09-11,155,-0.06417780943075899
2023-09-18,158,-0.02531797693497769
2023-09-25,160,-0.20897691316067035
2023-10-02,162,0.04560934062134382
2023-10-09,164,0.14041053963244596
2023-10-16,164,-0.11685280154530492
2023-10-23,165,-0.04061656826863997
2023-10-30,167,-0.019595061168540717
2023-11-06,167,-0.04517814628917724
2023-11-13,167,-0.06460057509765323
2023-11-20,167,0.016675770661774558
2023-11-27,168,-0.039476414879454955
2023-12-04,170,0.04089496278112616
2023-12-11,170,0.15834661488388566
2023-12-18,174,-0.18504968820296705
2023-12-25,178,-0.19044098011658328
2024-01-01,178,0.03298015062839853
2024-01-08,181,-0.24067553073077935
2024-01-15,185,0.0029888935218528485
2024-01-22,188,0.14929376005721437
2024-01-29,190,-0.20771562413888123
2024-02-05,190,-0.0775000328045244
2024-02-12,191,-0.040662028106916506
2024-02-19,191,-0.15530965830807386
2024-02-26,193,0.24535114310133005
2024-03-04,195,-0.06493712473093917
2024-03-11,196,-0.16727362557674377
2024-03-18,198,0.08317084699410877
2024-03-25,201,-0.15692330427072557
2024-04-01,204,0.22232933543476263
2024-04-08,204,-0.44692736640493036
2024-04-15,206,-0.01708175038694245
2024-04-22,208,-0.14896945160103056
2024-04-29,208,0.18650685698740618
2024-05-06,210,-0.07272662483438239
2024-05-13,211,-0.24681468044608526
2024-05-20,212,-0.10001599510323139
2024-05-27,215,-0.0669311019343621
2024-06-03,217,0.0025777796567971177
2024-06-10,219,-0.05321215167891051
2024-06-17,228,-0.019796957912353936
2024-06-24,229,0.2264127187153378
2024-07-01,233,-0.05440227228742842
2024-07-08,240,-0.37116442993801974
2024-07-15,242,0.056791139527213964
2024-07-22,243,0.12513861917736732
2024-07-29,246,0.14451688051541342
2024-08-05,250,-0.18162684202947246
2024-08-12,252,-0.4226009569851593
2024-08-19,254,0.15322237824201293
2024-08-26,254,-0.09058140490700994
2024-09-02,255,-0.1066050013397788
2024-09-09,257,-0.13833896949917526
2024-09-16,259,-0.3422925560488921
