week,sigma_xs,sigma_ls
2020-12-28,,
2021-01-04,,
2021-01-11,,
2021-01-18,,
2021-01-25,,
2021-02-01,,
2021-02-08,,
2021-02-15,,
2021-02-22,0.066970866,
2021-03-01,0.0346767326,
2021-03-08,0.0857696986,
2021-03-15,0.0598386654,
2021-03-22,0.0387932198,
2021-03-29,0.0563978302,
2021-04-05,0.088482538,
2021-04-12,0.1654040718,
2021-04-19,0.0718995876,
2021-04-26,0.0421344092,
2021-05-03,0.1425493318,
2021-05-10,0.1880850431,
2021-05-17,0.1754453009,
2021-05-24,0.0771850076,
2021-05-31,0.0693676693,
2021-06-07,0.0770043602,
2021-06-14,0.0150242042,
2021-06-21,0.0864189283,
2021-06-28,0.0476410546,
2021-07-05,0.0543260564,-0.1853516296
2021-07-12,0.0415412284,-0.0904357426
2021-07-19,0.0485157024,-0.0046419199
2021-07-26,0.088985243,-0.1735115282
2021-08-02,0.0419607212,0.0673847871
2021-08-09,0.1368813994,0.1386687094
2021-08-16,0.0944086211,0.0225744315
2021-08-23,0.1387036206,0.0081970695
2021-08-30,0.1283936567,-0.1703964907
2021-09-06,0.1353452807,-0.1024825607
2021-09-13,0.0407908104,-0.0978951789
2021-09-20,0.0931195919,-0.3125720039
2021-09-27,0.0697393923,0.0902706897
2021-10-04,0.0848392976,0.0259443567
2021-10-11,0.0814991783,0.0178516679
2021-10-18,0.0513742451,0.0036133476
2021-10-25,0.0519387237,0.0075807432
2021-11-01,0.072422932,0.1823806047
2021-11-08,0.0993267964,0.0177789355
2021-11-15,0.1009428401,0.0577443224
2021-11-22,0.0655722522,0.0791028938
2021-11-29,0.0968197158,0.0316746121
2021-12-06,0.0837750143,0.1441673825
2021-12-13,0.0749695743,0.0621156103
2021-12-20,0.1285345854,-0.0213303378
2021-12-27,0.0634741042,0.0406724458
2022-01-03,0.1181020403,-0.0167248984
2022-01-10,0.1016125164,-0.083268734
2022-01-17,0.0983742318,-0.0104978067
2022-01-24,0.1028593003,0.0344911049
2022-01-31,0.0806306812,-0.0072897038
2022-02-07,0.1331426975,-0.0417379418
2022-02-14,0.0683484094,-0.0019418928
2022-02-21,0.071632534,-0.0055573677
2022-02-28,0.084930136,-0.0392008623
2022-03-07,0.0949014838,-0.0333590112
2022-03-14,0.1121557826,0.0624502742
2022-03-21,0.1022119177,-0.0703700742
2022-03-28,0.0978960329,-0.0307441868
2022-04-04,0.1001418611,0.061654449
2022-04-11,0.0610820796,0.0286147385
2022-04-18,0.069865723,0.0099723983
2022-04-25,0.0978605805,-0.0146393309
2022-05-02,0.094573214,-0.0863315381
2022-05-09,0.1600095697,-0.0265563253
2022-05-16,0.1095536644,0.043450608
2022-05-23,0.0937266694,0.0036492792
2022-05-30,0.0906986317,-0.022247261
2022-06-06,0.1036563313,-0.0169000968
2022-06-13,0.1342606241,0.1068410314
2022-06-20,0.1040849631,0.0704255306
2022-06-27,0.0828542159,-0.0185475801
2022-07-04,0.0764142335,0.0355363578
2022-07-11,0.070625464,0.0192722778
2022-07-18,0.0816199809,0.0197108129
2022-07-25,0.1007655366,0.0011275297
2022-08-01,0.0687696505,0.0245663385
2022-08-08,0.0864535626,0.0046028792
2022-08-15,0.0739364898,-0.0131882108
2022-08-22,0.0650879625,-0.0080719869
2022-08-29,0.0856121377,-0.0277982496
2022-09-05,0.1032577967,-0.0007118431
2022-09-12,0.0890167839,0.0433080887
2022-09-19,0.076056718,0.0382870574
2022-09-26,0.0603097018,-0.0068551825
2022-10-03,0.0619461195,0.0198600808
2022-10-10,0.0711181758,-0.0328872171
2022-10-17,0.0644599363,-0.011672748
2022-10-24,0.0972015184,-0.040292226
2022-10-31,0.1125391639,-0.0534588645
2022-11-07,0.243896031,-0.0941071827
2022-11-14,0.0849138647,0.0437108725
2022-11-21,0.0780132381,-0.0095874233
2022-11-28,0.0609047879,-0.008930483
2022-12-05,0.0636624017,-0.0063083453
2022-12-12,0.0646156886,0.0329449422
2022-12-19,0.062662676,0.00964539
