date,rest_close,harvest_close,diff
2025-08-01,38.42,38.42,0.0
2025-08-02,37.67,37.67,0.0
2025-08-03,38.03,38.03,0.0
2025-08-04,36.89,36.89,0.0
2025-08-05,36.01,36.01,0.0
2025-08-06,34.88,34.88,0.0
2025-08-07,35.66,35.66,0.0
2025-08-08,34.4,34.4,0.0
2025-08-09,35.07,35.07,0.0
2025-08-10,35.43,35.43,0.0
2025-08-11,36.56,36.56,0.0
2025-08-12,36.94,36.94,0.0
2025-08-13,39.0,39.0,0.0
2025-08-14,36.95,36.95,0.0
2025-08-15,35.37,35.37,0.0
2025-08-16,35.38,35.38,0.0
2025-08-17,35.83,35.83,0.0
2025-08-18,35.99,35.99,0.0
2025-08-19,37.87,37.87,0.0
2025-08-20,36.02,36.02,0.0
2025-08-21,37.25,37.25,0.0
2025-08-22,34.53,34.53,0.0
2025-08-23,34.97,34.97,0.0
2025-08-24,35.07,35.07,0.0
2025-08-25,37.93,37.93,0.0
2025-08-26,36.92,36.92,0.0
2025-08-27,37.91,37.91,0.0
2025-08-28,36.95,36.95,0.0
2025-08-29,38.98,38.98,0.0
2025-08-30,38.85,38.85,0.0
2025-08-31,39.62,39.62,0.0
2026-03-20,54.44,54.44,0.0
2026-03-21,55.22,55.22,0.0
2026-03-22,56.74,56.74,0.0
2026-03-23,53.53,53.53,0.0
2026-03-24,52.68,52.68,0.0
2026-03-25,51.04,51.04,0.0
2026-03-26,52.54,52.54,0.0
2026-03-27,53.71,53.71,0.0
2026-03-28,53.74,53.74,0.0
2026-03-29,54.56,54.56,0.0
2026-03-30,55.3,55.3,0.0
2026-03-31,52.25,52.25,0.0
2026-04-01,51.49,51.49,0.0
2026-04-02,50.85,50.85,0.0
2026-04-03,47.41,47.41,0.0
2026-04-04,47.37,47.37,0.0
2026-04-05,47.53,47.53,0.0
2026-04-06,48.99,48.99,0.0
2026-04-07,47.37,47.37,0.0
2026-04-08,44.35,44.35,0.0
2026-04-09,44.52,44.52,0.0
2026-04-10,43.14,43.14,0.0
2026-04-11,44.61,44.61,0.0
2026-04-12,45.43,45.43,0.0
2026-04-13,44.01,44.01,0.0
2026-04-14,44.1,44.1,0.0
2026-04-15,43.92,43.92,0.0
2026-04-16,42.33,42.33,0.0
2026-04-17,42.83,42.83,0.0
2026-04-18,44.1,44.1,0.0
2026-04-19,43.44,43.44,0.0
2026-04-20,42.03,42.03,0.0
2026-04-21,42.13,42.13,0.0
2026-04-22,43.18,43.18,0.0
2026-04-23,42.83,42.83,0.0
2026-04-24,40.16,40.16,0.0
2026-04-25,40.77,40.77,0.0
2026-04-26,40.34,40.34,0.0
2026-04-27,40.62,40.62,0.0
2026-04-28,40.58,40.58,0.0
2026-04-29,39.62,39.62,0.0
2026-04-30,38.88,38.88,0.0
2026-05-01,38.52,38.52,0.0
2026-05-02,39.31,39.31,0.0
2026-05-03,39.05,39.05,0.0
2026-05-04,41.0,41.0,0.0
2026-05-05,40.28,40.28,0.0
2026-05-06,39.41,39.41,0.0
2026-05-07,38.85,38.85,0.0
2026-05-08,37.66,37.66,0.0
2026-05-09,38.61,38.61,0.0
2026-05-10,38.72,38.72,0.0
2026-05-11,38.33,38.33,0.0
2026-05-12,38.55,38.55,0.0
2026-05-13,39.83,39.83,0.0
2026-05-14,39.02,39.02,0.0
2026-05-15,39.05,39.05,0.0
2026-05-16,40.21,40.21,0.0
2026-05-17,40.24,40.24,0.0
2026-05-18,39.93,39.93,0.0
2026-05-19,39.76,39.76,0.0
2026-05-20,38.47,38.47,0.0
2026-05-21,36.62,36.62,0.0
2026-05-22,37.09,37.09,0.0
2026-05-23,36.7,36.7,0.0
2026-05-24,36.03,36.03,0.0
2026-05-25,34.44,34.44,0.0
2026-05-26,35.86,35.86,0.0
2026-05-27,37.19,37.19,0.0
2026-05-28,37.27,37.27,0.0
2026-05-29,35.99,35.99,0.0
2026-05-30,35.28,35.28,0.0
2026-05-31,36.4,36.4,0.0
2026-06-01,37.27,37.27,0.0
2026-06-02,43.28,43.28,0.0
2026-06-03,47.9,47.9,0.0
2026-06-04,46.17,46.17,0.0
2026-06-05,49.14,49.14,0.0
2026-06-06,48.62,48.62,0.0
2026-06-07,49.37,49.37,0.0
2026-06-08,45.64,45.64,0.0
2026-06-09,46.24,46.24,0.0
2026-06-10,46.96,46.96,0.0
2026-06-11,43.27,43.27,0.0
2026-06-12,40.47,40.47,0.0
2026-06-13,40.77,40.77,0.0
2026-06-14,40.33,40.33,0.0
2026-06-15,38.72,38.72,0.0
2026-06-16,37.67,37.67,0.0
2026-06-17,39.54,39.54,0.0
2026-06-18,42.47,42.47,0.0
2026-06-19,40.54,40.54,0.0
2026-06-20,39.85,39.85,0.0
2026-06-21,41.76,41.76,0.0
2026-06-22,40.41,40.41,0.0
2026-06-23,41.56,41.56,0.0
2026-06-24,45.12,45.12,0.0
2026-06-25,46.56,46.56,0.0
2026-06-26,45.5,45.5,0.0
2026-06-27,45.17,45.17,0.0
2026-06-28,47.66,47.66,0.0
2026-06-29,42.65,42.65,0.0
2026-06-30,44.54,44.54,0.0
2026-07-01,42.91,42.91,0.0
2026-07-02,40.45,40.45,0.0
2026-07-03,39.47,39.47,0.0
2026-07-04,39.18,39.18,0.0
2026-07-05,38.67,38.67,0.0
2026-07-06,37.26,37.26,0.0
2026-07-07,38.87,38.87,0.0
2026-07-08,39.53,39.53,0.0
2026-07-09,37.29,37.29,0.0
2026-07-10,36.23,36.23,0.0
2026-07-11,36.78,36.78,0.0
2026-07-12,37.2,37.2,0.0
2026-07-13,37.78,37.78,0.0
2026-07-14,36.48,36.48,0.0
2026-07-15,35.98,35.98,0.0
