date,rest_close,harvest_close,diff
2025-08-01,69.77,69.77,0.0
2025-08-02,70.19,70.19,0.0
2025-08-03,68.96,68.96,0.0
2025-08-04,66.19,66.19,0.0
2025-08-05,65.94,65.94,0.0
2025-08-06,64.68,64.68,0.0
2025-08-07,65.44,65.44,0.0
2025-08-08,67.97,67.97,0.0
2025-08-09,70.64,70.64,0.0
2025-08-10,68.38,68.38,0.0
2025-08-11,69.21,69.21,0.0
2025-08-12,69.79,69.79,0.0
2025-08-13,70.88,70.88,0.0
2025-08-14,71.24,71.24,0.0
2025-08-15,71.64,71.64,0.0
2025-08-16,71.72,71.72,0.0
2025-08-17,72.82,72.82,0.0
2025-08-18,70.58,70.58,0.0
2025-08-19,72.92,72.92,0.0
2025-08-20,70.55,70.55,0.0
2025-08-21,69.99,69.99,0.0
2025-08-22,69.41,69.41,0.0
2025-08-23,68.79,68.79,0.0
2025-08-24,70.71,70.71,0.0
2025-08-25,74.6,74.6,0.0
2025-08-26,74.72,74.72,0.0
2025-08-27,71.73,71.73,0.0
2025-08-28,70.42,70.42,0.0
2025-08-29,70.74,70.74,0.0
2025-08-30,70.7,70.7,0.0
2025-08-31,69.67,69.67,0.0
2026-03-20,78.53,78.53,0.0
2026-03-21,79.06,79.06,0.0
2026-03-22,79.11,79.11,0.0
2026-03-23,75.53,75.53,0.0
2026-03-24,74.99,74.99,0.0
2026-03-25,73.94,73.94,0.0
2026-03-26,75.08,75.08,0.0
2026-03-27,73.49,73.49,0.0
2026-03-28,74.53,74.53,0.0
2026-03-29,74.49,74.49,0.0
2026-03-30,74.58,74.58,0.0
2026-03-31,72.37,72.37,0.0
2026-04-01,72.02,72.02,0.0
2026-04-02,71.13,71.13,0.0
2026-04-03,68.3,68.3,0.0
2026-04-04,68.74,68.74,0.0
2026-04-05,69.94,69.94,0.0
2026-04-06,69.1,69.1,0.0
2026-04-07,69.49,69.49,0.0
2026-04-08,65.06,65.06,0.0
2026-04-09,63.51,63.51,0.0
2026-04-10,64.32,64.32,0.0
2026-04-11,66.86,66.86,0.0
2026-04-12,66.44,66.44,0.0
